"","x"
"1",1
"2",1
"3",1
"4",0
"5",0
"6",0
"7",1
"8",1
"9",1
"10",0
"11",1
"12",0
"13",0
"14",0
"15",1
"16",0
"17",0
"18",1
"19",0
"20",1
"21",1
"22",1
"23",0
"24",0
"25",1
"26",0
"27",1
"28",0
"29",0
"30",1
"31",0
"32",1
"33",0
"34",0
"35",1
"36",0
"37",0
"38",1
"39",1
"40",0
"41",0
"42",1
"43",0
"44",1
"45",0
"46",0
"47",0
"48",1
"49",1
"50",0
"51",0
"52",0
"53",1
"54",0
"55",1
"56",1
"57",1
"58",0
"59",0
"60",1
"61",1
"62",1
"63",0
"64",1
"65",0
"66",1
"67",1
"68",0
"69",1
"70",1
"71",1
"72",0
"73",1
"74",1
"75",1
"76",1
"77",0
"78",0
"79",0
"80",1
"81",0
"82",0
"83",1
"84",1
"85",1
"86",1
"87",0
"88",0
"89",0
"90",0
"91",1
"92",0
"93",1
"94",1
"95",1
"96",0
"97",0
"98",0
"99",0
"100",1
"101",0
"102",0
