"","attr","meanImp","medianImp","minImp","maxImp","normHits","decision","Rank","Model"
"1","Mkt.Size",16.4641919594747,17.5228454852411,7.88629100651715,21.8262808414221,1,"Confirmed","1","31sNPVProfit1Regret"
"2","Mkt.Strat.2",14.9768410310976,16.036258017719,6.04678169270778,19.0138855304103,1,"Confirmed","2","31sNPVProfit1Regret"
"3","Mkt.Strat.4",14.5504278345925,15.9704975637907,4.66634368913734,18.2733530718149,0.986111111111111,"Confirmed","3","31sNPVProfit1Regret"
"4","Sens.Attract.Price",7.19275051789854,7.33813445377626,3.76672718687709,9.76572381416559,0.986111111111111,"Confirmed","4","31sNPVProfit1Regret"
"5","Patent.Perf.Slope",6.56814501823858,6.84944908243149,1.1504460699133,9.4168061409114,0.958333333333333,"Confirmed","5","31sNPVProfit1Regret"
"6","Cap.Utiliz.",3.67940110094626,3.69934242741979,0.010762347749934,8.33477710752085,0.722222222222222,"Confirmed","6","31sNPVProfit1Regret"
"7","Rep.Delay",3.24102359050298,3.4599282451267,-0.0727275454667792,5.76755956532674,0.708333333333333,"Confirmed","7","31sNPVProfit1Regret"
"8","Demand.Elastic.",0.926658468150831,0.910473722243628,-1.35342942884274,3.48850701713551,0.0833333333333333,"Rejected","8","31sNPVProfit1Regret"
"9","Cap.Acqui.Delay",0.714326357873581,0.862395229212785,-0.753911220561142,2.06692810899884,0,"Rejected","9","31sNPVProfit1Regret"
"10","Tgt.Mkt.Share.3",0.623958757028526,0.834770233800543,-2.14798514604063,2.12757168398475,0,"Rejected","10","31sNPVProfit1Regret"
"11","Tgt.Mkt.Share.2",0.795855605594877,0.812566542576723,-1.31202636826478,2.09751965587995,0,"Rejected","11","31sNPVProfit1Regret"
"12","Sens.Price.Share",0.145632976185663,0.364055214347638,-1.81504487441941,0.975309906316023,0,"Rejected","12","31sNPVProfit1Regret"
"13","Fixed.Var.Ratio.",0.246177889399818,0.179574030546763,-0.993396623849799,2.91332326168012,0,"Rejected","13","31sNPVProfit1Regret"
"14","RD.Real.Time",-0.118014349674585,0.132608702846946,-1.95247098665565,1.44372079489004,0,"Rejected","14","31sNPVProfit1Regret"
"15","Inov.Adop.Fract.",-0.268874863361283,0.060520108222858,-2.08147384324567,0.834473973340829,0,"Rejected","15","31sNPVProfit1Regret"
"16","RD.Budgt.2",-0.161733362321027,0.00162839020142325,-1.48383116105884,0.825544414779764,0,"Rejected","16","31sNPVProfit1Regret"
"17","Patent.Eval.Time",-0.0506239162089585,-0.219626626768866,-1.87422059487026,2.25085720728863,0,"Rejected","17","31sNPVProfit1Regret"
"18","Sens.Attract.Perf.",-0.186196733478077,-0.291242833911429,-2.12957052467457,1.83912070453642,0,"Rejected","18","31sNPVProfit1Regret"
"19","Mkt.Strat.3",-0.514249186579653,-0.292926278371247,-2.25134685523718,0.76316286456304,0,"Rejected","19","31sNPVProfit1Regret"
"20","Patent.Useful.Time",-0.0421380270703417,-0.342960198929481,-1.31720667284867,2.08140219519069,0,"Rejected","20","31sNPVProfit1Regret"
"21","Open.RD.2",-0.347097162099692,-0.394653699020479,-2.65925773057861,1.45056644734433,0,"Rejected","21","31sNPVProfit1Regret"
"22","Patent.Cost",-0.242031717932814,-0.424169845777729,-1.12772909787469,1.12029922833716,0,"Rejected","22","31sNPVProfit1Regret"
"23","Init.Reord.Share",-0.457001999852167,-0.4356955168118,-1.73827218728315,1.00291758106619,0,"Rejected","23","31sNPVProfit1Regret"
"24","RD.Budgt.4",-0.502716945525692,-0.481740012525413,-2.47051705182537,0.498888999536223,0,"Rejected","24","31sNPVProfit1Regret"
"25","RD.Budgt.3",-0.551434865095808,-0.492353164216937,-2.52277670288747,0.960874886245854,0,"Rejected","25","31sNPVProfit1Regret"
"26","Discard.Rate",-0.593256838793617,-0.592912394204373,-1.96928269469255,1.13143487711047,0,"Rejected","26","31sNPVProfit1Regret"
"27","Sens.Price.Demmand.Suppl.",-0.567597817908087,-0.616883721302245,-1.88423747823569,0.692331549287712,0,"Rejected","27","31sNPVProfit1Regret"
"28","Open.RD.3",-0.7796162776692,-0.671389743691257,-2.58696256423678,0.79862949707043,0,"Rejected","28","31sNPVProfit1Regret"
"29","Learn.Curv.Str.",-0.777741658718259,-0.711329204778491,-1.84906834495942,0.394499113381466,0,"Rejected","29","31sNPVProfit1Regret"
"30","Tgt.Mkt.Share.4",-0.782600047262811,-0.733995413766627,-2.04289411816495,1.18856572514067,0,"Rejected","30","31sNPVProfit1Regret"
"31","Open.RD.4",-0.784562588770192,-0.74124593982741,-2.75673301236516,0.836271644876154,0,"Rejected","31","31sNPVProfit1Regret"
"32","Sens.Attract.Avail.",-0.76925501153865,-0.984896235070419,-2.22057738823004,1.42558957379769,0,"Rejected","32","31sNPVProfit1Regret"
"33","Sens.Price.Cost",-0.873029724633385,-1.08592770995869,-2.69806962828757,1.67347054186951,0,"Rejected","33","31sNPVProfit1Regret"
"34","Rej.Ratio",-1.3928647810489,-1.49181232433764,-2.41695763733674,0.583845282170768,0,"Rejected","34","31sNPVProfit1Regret"
