"","x"
"1",1
"2",0
"3",1
"4",1
"5",1
"6",1
"7",1
"8",0
"9",1
"10",0
"11",1
"12",1
"13",1
"14",1
"15",1
"16",1
"17",1
"18",1
"19",1
"20",1
"21",0
"22",1
"23",1
"24",1
"25",1
"26",1
"27",1
"28",1
"29",1
"30",0
"31",1
"32",1
"33",1
"34",0
"35",1
"36",1
"37",1
"38",0
"39",0
"40",1
"41",1
"42",1
"43",1
"44",0
"45",0
"46",1
"47",1
"48",1
"49",1
"50",1
"51",1
"52",1
"53",1
"54",1
"55",1
"56",0
"57",1
"58",1
"59",1
"60",0
"61",0
"62",1
"63",0
"64",1
"65",1
"66",1
"67",0
"68",1
"69",0
"70",1
"71",0
"72",1
"73",1
"74",1
"75",1
"76",1
"77",0
"78",1
"79",0
"80",0
"81",1
"82",1
"83",0
"84",1
"85",1
"86",1
"87",0
"88",1
"89",1
"90",1
"91",1
"92",0
"93",1
"94",1
"95",1
"96",0
"97",0
"98",0
"99",0
"100",1
"101",1
"102",0
"103",1
"104",1
"105",1
"106",1
"107",1
"108",1
"109",1
"110",1
"111",1
"112",1
"113",1
"114",0
"115",1
"116",0
"117",1
"118",1
"119",0
"120",0
"121",1
"122",1
"123",0
"124",1
"125",1
"126",1
"127",1
"128",1
"129",1
"130",1
"131",1
"132",0
"133",0
"134",1
"135",1
"136",1
"137",1
"138",1
"139",1
"140",1
"141",1
"142",1
"143",1
"144",1
"145",0
"146",0
"147",1
"148",1
"149",1
"150",0
"151",1
"152",1
"153",1
"154",1
"155",1
"156",1
"157",1
"158",1
"159",1
"160",0
"161",0
"162",0
"163",1
"164",1
"165",0
"166",1
"167",1
"168",1
"169",0
"170",0
"171",0
"172",1
"173",1
"174",1
"175",1
"176",1
"177",1
"178",1
"179",1
"180",1
"181",1
"182",0
"183",0
"184",1
"185",1
"186",0
"187",1
"188",1
"189",1
"190",1
"191",1
"192",1
"193",1
"194",1
"195",1
"196",1
"197",0
"198",1
"199",1
"200",1
