"","Variable","ImportanceOrder","MeanDecreaseGini","Model"
"1","Discard.Rate",3,1.94780045461617,"31sNPVProfit1Regret"
"2","Demand.Elastic.",9,2.03563462818558,"31sNPVProfit1Regret"
"3","Mkt.Size",21,6.65219635351296,"31sNPVProfit1Regret"
"4","Inov.Adop.Fract.",33,1.44266945948691,"31sNPVProfit1Regret"
"5","Dif.Str.",6,1.40849926735657,"31sNPVProfit1Regret"
"6","Rep.Delay",12,3.21239759001973,"31sNPVProfit1Regret"
"7","Cap.Acqui.Delay",30,1.98533840775991,"31sNPVProfit1Regret"
"8","Sens.Attract.Avail.",11,1.42571074759837,"31sNPVProfit1Regret"
"9","Sens.Attract.Price",35,4.28841345392984,"31sNPVProfit1Regret"
"10","Learn.Curv.Str.",29,1.52162154585059,"31sNPVProfit1Regret"
"11","Fixed.Var.Ratio.",18,2.27774674973012,"31sNPVProfit1Regret"
"12","Cap.Utiliz.",2,2.61615943745784,"31sNPVProfit1Regret"
"13","Sens.Price.Cost",23,1.72527353606207,"31sNPVProfit1Regret"
"14","Sens.Price.Demmand.Suppl.",7,1.85985994303208,"31sNPVProfit1Regret"
"15","Sens.Price.Share",1,1.81027997499455,"31sNPVProfit1Regret"
"16","RD.Real.Time",28,1.85633539259392,"31sNPVProfit1Regret"
"17","Patent.Cost",32,1.3598088632469,"31sNPVProfit1Regret"
"18","Patent.Eval.Time",20,2.04785246836961,"31sNPVProfit1Regret"
"19","Rej.Ratio",14,1.1481802911927,"31sNPVProfit1Regret"
"20","Patent.Useful.Time",16,1.87366699699581,"31sNPVProfit1Regret"
"21","Patent.Perf.Slope",31,4.09996206689455,"31sNPVProfit1Regret"
"22","Sens.Attract.Perf.",27,1.79650938430152,"31sNPVProfit1Regret"
"23","Init.Reord.Share",15,1.99527801870805,"31sNPVProfit1Regret"
"24","Open.RD.2",24,1.80908437117669,"31sNPVProfit1Regret"
"25","Open.RD.3",22,1.39441865656598,"31sNPVProfit1Regret"
"26","Open.RD.4",13,1.3937960033253,"31sNPVProfit1Regret"
"27","RD.Budgt.2",10,1.82935762347942,"31sNPVProfit1Regret"
"28","RD.Budgt.3",4,1.89600646823956,"31sNPVProfit1Regret"
"29","RD.Budgt.4",8,2.1444966779679,"31sNPVProfit1Regret"
"30","Tgt.Mkt.Share.2",5,2.58945679896741,"31sNPVProfit1Regret"
"31","Tgt.Mkt.Share.3",25,1.84180714407488,"31sNPVProfit1Regret"
"32","Tgt.Mkt.Share.4",26,1.89460551482222,"31sNPVProfit1Regret"
"33","Mkt.Strat.2",17,3.53078614972439,"31sNPVProfit1Regret"
"34","Mkt.Strat.3",19,0.244665139126156,"31sNPVProfit1Regret"
"35","Mkt.Strat.4",34,2.26694442063374,"31sNPVProfit1Regret"
"36","Discard.Rate",3,1.0542565629913,"31aPerformance1Regret"
"37","Demand.Elastic.",21,1.80990343216458,"31aPerformance1Regret"
"38","Mkt.Size",8,4.22882020610906,"31aPerformance1Regret"
"39","Inov.Adop.Fract.",12,1.31447881162614,"31aPerformance1Regret"
"40","Dif.Str.",26,1.13143590001556,"31aPerformance1Regret"
"41","Rep.Delay",14,1.29915695886867,"31aPerformance1Regret"
"42","Cap.Acqui.Delay",2,1.41175260476964,"31aPerformance1Regret"
"43","Sens.Attract.Avail.",13,2.25822339736088,"31aPerformance1Regret"
"44","Sens.Attract.Price",19,1.64388929079097,"31aPerformance1Regret"
"45","Learn.Curv.Str.",9,1.30076920170818,"31aPerformance1Regret"
"46","Fixed.Var.Ratio.",22,1.49228944344231,"31aPerformance1Regret"
"47","Cap.Utiliz.",11,1.95970740723022,"31aPerformance1Regret"
"48","Sens.Price.Cost",7,1.72152712181938,"31aPerformance1Regret"
"49","Sens.Price.Demmand.Suppl.",17,1.84081956448596,"31aPerformance1Regret"
"50","Sens.Price.Share",25,1.05814818791262,"31aPerformance1Regret"
"51","RD.Real.Time",31,1.21400780043665,"31aPerformance1Regret"
"52","Patent.Cost",24,1.38545689438489,"31aPerformance1Regret"
"53","Patent.Eval.Time",4,1.00574229789164,"31aPerformance1Regret"
"54","Rej.Ratio",10,1.66538136108436,"31aPerformance1Regret"
"55","Patent.Useful.Time",6,1.10155995382614,"31aPerformance1Regret"
"56","Patent.Perf.Slope",23,3.59981923842829,"31aPerformance1Regret"
"57","Sens.Attract.Perf.",32,1.55071269677295,"31aPerformance1Regret"
"58","Init.Reord.Share",28,1.28439326153196,"31aPerformance1Regret"
