"","Model","OOB"
"OOB","31sNPVProfit1Regret",0.23
"OOB1","31aPerformance1Regret",0.401960784313726
"OOB2","31aOrderShare1Regret",0.225
"OOB3","31sTotalInstalledBaseRegret",0.235
"OOB4","31aPerformanceAvgRegret",0.255
"OOB5","31sPriceAvgRegret",0.245
"OOB6","13sNPVProfit1Regret",0.225
"OOB7","13aPerformance1Regret",0.401960784313726
"OOB8","13aOrderShare1Regret",0.25
"OOB9","13sTotalInstalledBaseRegret",0.255
"OOB10","13aPerformanceAvgRegret",0.255
"OOB11","13sPriceAvgRegret",0.255
"OOB12","15sNPVProfit1Regret",0.245
"OOB13","15aPerformance1Regret",0.431372549019608
"OOB14","15aOrderShare1Regret",0.255
"OOB15","15sTotalInstalledBaseRegret",0.25
"OOB16","15aPerformanceAvgRegret",0.285
"OOB17","15sPriceAvgRegret",0.235
