"","x"
"1",0
"2",0
"3",0
"4",0
"5",1
"6",0
"7",0
"8",0
"9",0
"10",0
"11",0
"12",1
"13",0
"14",1
"15",1
"16",0
"17",0
"18",1
"19",1
"20",0
"21",0
"22",0
"23",0
"24",0
"25",1
"26",0
"27",1
"28",1
"29",0
"30",0
"31",1
"32",0
"33",0
"34",0
"35",1
"36",0
"37",1
"38",0
"39",0
"40",1
"41",0
"42",0
"43",0
"44",0
"45",0
"46",0
"47",0
"48",1
"49",1
"50",0
"51",0
"52",0
"53",0
"54",1
"55",0
"56",0
"57",1
"58",1
"59",1
"60",0
"61",0
"62",0
"63",0
"64",0
"65",0
"66",0
"67",0
"68",0
"69",0
"70",0
"71",0
"72",1
"73",1
"74",0
"75",0
"76",1
"77",0
"78",1
"79",0
"80",0
"81",0
"82",0
"83",0
"84",0
"85",1
"86",1
"87",0
"88",0
"89",0
"90",0
"91",0
"92",0
"93",0
"94",0
"95",0
"96",0
"97",0
"98",0
"99",0
"100",0
"101",1
"102",0
"103",0
"104",0
"105",0
"106",0
"107",1
"108",1
"109",0
"110",1
"111",1
"112",1
"113",1
"114",0
"115",1
"116",0
"117",0
"118",0
"119",0
"120",0
"121",1
"122",1
"123",0
"124",0
"125",1
"126",0
"127",0
"128",1
"129",0
"130",0
"131",0
"132",0
"133",0
"134",0
"135",0
"136",0
"137",0
"138",0
"139",0
"140",0
"141",1
"142",0
"143",0
"144",0
"145",0
"146",0
"147",1
"148",0
"149",1
"150",0
"151",0
"152",0
"153",0
"154",0
"155",0
"156",0
"157",0
"158",0
"159",0
"160",0
"161",0
"162",0
"163",1
"164",0
"165",0
"166",0
"167",0
"168",0
"169",0
"170",0
"171",0
"172",0
"173",0
"174",0
"175",0
"176",1
"177",0
"178",0
"179",1
"180",0
"181",0
"182",0
"183",0
"184",1
"185",0
"186",0
"187",0
"188",0
"189",1
"190",1
"191",0
"192",0
"193",1
"194",0
"195",0
"196",0
"197",0
"198",1
"199",1
"200",1
