"","x"
"1",1
"2",0
"3",1
"4",0
"5",0
"6",0
"7",1
"8",0
"9",1
"10",0
"11",1
"12",0
"13",0
"14",1
"15",1
"16",0
"17",1
"18",1
"19",0
"20",1
"21",1
"22",1
"23",0
"24",0
"25",1
"26",0
"27",1
"28",0
"29",0
"30",0
"31",0
"32",0
"33",0
"34",1
"35",1
"36",0
"37",1
"38",1
"39",1
"40",0
"41",0
"42",1
"43",0
"44",0
"45",0
"46",0
"47",0
"48",0
"49",1
"50",0
"51",1
"52",0
"53",1
"54",0
"55",1
"56",1
"57",1
"58",0
"59",0
"60",1
"61",1
"62",1
"63",0
"64",0
"65",0
"66",0
"67",1
"68",0
"69",1
"70",0
"71",1
"72",0
"73",1
"74",1
"75",1
"76",1
"77",0
"78",0
"79",0
"80",1
"81",1
"82",0
"83",1
"84",1
"85",1
"86",1
"87",0
"88",0
"89",1
"90",0
"91",0
"92",1
"93",1
"94",0
"95",0
"96",0
"97",1
"98",1
"99",1
"100",1
"101",0
"102",1
