"","x"
"1",0
"2",1
"3",1
"4",0
"5",0
"6",0
"7",0
"8",1
"9",0
"10",0
"11",0
"12",0
"13",0
"14",0
"15",1
"16",0
"17",1
"18",0
"19",0
"20",1
"21",1
"22",0
"23",0
"24",0
"25",0
"26",1
"27",0
"28",0
"29",0
"30",0
"31",0
"32",0
"33",0
"34",1
"35",0
"36",0
"37",0
"38",1
"39",1
"40",0
"41",0
"42",0
"43",0
"44",1
"45",1
"46",0
"47",0
"48",1
"49",0
"50",1
"51",0
"52",0
"53",0
"54",0
"55",0
"56",0
"57",0
"58",0
"59",0
"60",0
"61",0
"62",1
"63",0
"64",0
"65",0
"66",0
"67",1
"68",0
"69",0
"70",0
"71",1
"72",0
"73",0
"74",0
"75",1
"76",0
"77",1
"78",0
"79",0
"80",0
"81",0
"82",0
"83",1
"84",0
"85",0
"86",0
"87",0
"88",1
"89",1
"90",0
"91",0
"92",0
"93",1
"94",0
"95",1
"96",1
"97",0
"98",0
"99",1
"100",1
"101",0
"102",0
"103",0
"104",0
"105",1
"106",0
"107",0
"108",0
"109",0
"110",0
"111",0
"112",0
"113",0
"114",0
"115",1
"116",0
"117",1
"118",0
"119",0
"120",0
"121",0
"122",0
"123",0
"124",0
"125",0
"126",0
"127",0
"128",0
"129",1
"130",0
"131",0
"132",1
"133",0
"134",1
"135",0
"136",0
"137",1
"138",0
"139",0
"140",0
"141",0
"142",1
"143",0
"144",0
"145",1
"146",0
"147",0
"148",0
"149",1
"150",0
"151",0
"152",0
"153",0
"154",1
"155",1
"156",0
"157",0
"158",0
"159",0
"160",1
"161",0
"162",0
"163",0
"164",0
"165",1
"166",0
"167",1
"168",0
"169",1
"170",0
"171",1
"172",0
"173",1
"174",1
"175",0
"176",0
"177",0
"178",0
"179",0
"180",0
"181",0
"182",0
"183",0
"184",0
"185",1
"186",1
"187",1
"188",0
"189",0
"190",0
"191",0
"192",0
"193",0
"194",0
"195",0
"196",0
"197",0
"198",0
"199",0
"200",0
