"","x"
"1",0
"2",0
"3",0
"4",1
"5",1
"6",1
"7",0
"8",0
"9",0
"10",1
"11",0
"12",1
"13",0
"14",0
"15",0
"16",0
"17",0
"18",0
"19",0
"20",0
"21",0
"22",0
"23",1
"24",1
"25",0
"26",1
"27",0
"28",0
"29",0
"30",0
"31",1
"32",0
"33",1
"34",0
"35",0
"36",1
"37",0
"38",0
"39",0
"40",0
"41",0
"42",0
"43",1
"44",0
"45",0
"46",1
"47",0
"48",1
"49",0
"50",1
"51",0
"52",0
"53",0
"54",1
"55",0
"56",0
"57",0
"58",1
"59",1
"60",0
"61",0
"62",0
"63",1
"64",0
"65",1
"66",0
"67",0
"68",1
"69",0
"70",1
"71",0
"72",1
"73",0
"74",0
"75",0
"76",0
"77",1
"78",0
"79",0
"80",0
"81",0
"82",1
"83",0
"84",0
"85",0
"86",0
"87",1
"88",1
"89",0
"90",0
"91",1
"92",0
"93",0
"94",0
"95",1
"96",0
"97",0
"98",0
"99",0
"100",0
"101",0
"102",0
