"","x"
"1",0
"2",1
"3",0
"4",0
"5",0
"6",0
"7",0
"8",1
"9",0
"10",1
"11",0
"12",0
"13",0
"14",0
"15",0
"16",0
"17",0
"18",0
"19",0
"20",0
"21",1
"22",0
"23",0
"24",0
"25",0
"26",0
"27",0
"28",0
"29",0
"30",1
"31",0
"32",0
"33",0
"34",1
"35",0
"36",0
"37",0
"38",1
"39",1
"40",0
"41",0
"42",0
"43",0
"44",1
"45",1
"46",0
"47",0
"48",0
"49",0
"50",0
"51",0
"52",0
"53",0
"54",0
"55",0
"56",1
"57",0
"58",0
"59",0
"60",1
"61",1
"62",0
"63",1
"64",0
"65",0
"66",0
"67",1
"68",0
"69",1
"70",0
"71",1
"72",0
"73",0
"74",0
"75",0
"76",0
"77",1
"78",0
"79",1
"80",1
"81",0
"82",0
"83",1
"84",0
"85",0
"86",0
"87",1
"88",0
"89",0
"90",0
"91",0
"92",1
"93",0
"94",0
"95",0
"96",1
"97",1
"98",1
"99",1
"100",0
"101",0
"102",1
"103",0
"104",0
"105",0
"106",0
"107",0
"108",0
"109",0
"110",0
"111",0
"112",0
"113",0
"114",1
"115",0
"116",1
"117",0
"118",0
"119",1
"120",1
"121",0
"122",0
"123",1
"124",0
"125",0
"126",0
"127",0
"128",0
"129",0
"130",0
"131",0
"132",1
"133",1
"134",0
"135",0
"136",0
"137",0
"138",0
"139",0
"140",0
"141",0
"142",0
"143",0
"144",0
"145",1
"146",1
"147",0
"148",0
"149",0
"150",1
"151",0
"152",0
"153",0
"154",0
"155",0
"156",0
"157",0
"158",0
"159",0
"160",1
"161",1
"162",1
"163",0
"164",0
"165",1
"166",0
"167",0
"168",0
"169",1
"170",1
"171",1
"172",0
"173",0
"174",0
"175",0
"176",0
"177",1
"178",0
"179",0
"180",0
"181",0
"182",1
"183",1
"184",0
"185",0
"186",1
"187",0
"188",0
"189",0
"190",0
"191",0
"192",0
"193",0
"194",0
"195",0
"196",0
"197",1
"198",0
"199",0
"200",0
