"","x"
"1",1
"2",0
"3",1
"4",0
"5",1
"6",0
"7",0
"8",1
"9",1
"10",0
"11",0
"12",1
"13",0
"14",1
"15",1
"16",0
"17",0
"18",1
"19",1
"20",1
"21",0
"22",0
"23",1
"24",1
"25",1
"26",0
"27",1
"28",0
"29",0
"30",0
"31",0
"32",0
"33",1
"34",0
"35",1
"36",1
"37",0
"38",0
"39",0
"40",1
"41",1
"42",1
"43",0
"44",0
"45",0
"46",1
"47",0
"48",0
"49",1
"50",0
"51",0
"52",1
"53",1
"54",1
"55",0
"56",1
"57",0
"58",1
"59",0
"60",0
"61",0
"62",0
"63",0
"64",0
"65",0
"66",0
"67",1
"68",0
"69",1
"70",0
"71",0
"72",1
"73",0
"74",0
"75",1
"76",1
"77",0
"78",1
"79",1
"80",1
"81",1
"82",0
"83",0
"84",1
"85",1
"86",1
"87",0
"88",0
"89",0
"90",1
"91",0
"92",0
"93",0
"94",1
"95",0
"96",0
"97",0
"98",1
"99",0
"100",0
"101",1
"102",0
"103",1
"104",0
"105",1
"106",1
"107",1
"108",1
"109",0
"110",1
"111",0
"112",1
"113",0
"114",1
"115",0
"116",0
"117",0
"118",0
"119",0
"120",1
"121",1
"122",0
"123",0
"124",0
"125",1
"126",1
"127",1
"128",1
"129",1
"130",1
"131",1
"132",0
"133",0
"134",1
"135",0
"136",1
"137",1
"138",0
"139",0
"140",0
"141",0
"142",0
"143",0
"144",1
"145",0
"146",1
"147",1
"148",1
"149",0
"150",1
"151",0
"152",1
"153",1
"154",0
"155",0
"156",0
"157",1
"158",1
"159",0
"160",0
"161",1
"162",0
"163",0
"164",0
"165",1
"166",0
"167",1
"168",1
"169",0
"170",1
"171",1
"172",0
"173",1
"174",0
"175",1
"176",1
"177",0
"178",0
"179",1
"180",0
"181",0
"182",1
"183",0
"184",1
"185",0
"186",0
"187",0
"188",1
"189",1
"190",0
"191",1
"192",1
"193",0
"194",0
"195",0
"196",0
"197",0
"198",1
"199",1
"200",0
