"","x"
"1",0
"2",0
"3",0
"4",0
"5",1
"6",0
"7",0
"8",1
"9",1
"10",0
"11",0
"12",0
"13",0
"14",1
"15",1
"16",0
"17",1
"18",1
"19",1
"20",0
"21",0
"22",0
"23",0
"24",0
"25",0
"26",0
"27",1
"28",1
"29",0
"30",0
"31",1
"32",0
"33",0
"34",0
"35",0
"36",0
"37",1
"38",0
"39",0
"40",1
"41",0
"42",0
"43",0
"44",0
"45",0
"46",0
"47",0
"48",0
"49",1
"50",0
"51",0
"52",1
"53",0
"54",1
"55",0
"56",0
"57",0
"58",1
"59",0
"60",0
"61",0
"62",0
"63",1
"64",0
"65",0
"66",0
"67",0
"68",0
"69",1
"70",0
"71",0
"72",0
"73",1
"74",0
"75",0
"76",1
"77",0
"78",0
"79",1
"80",1
"81",1
"82",0
"83",0
"84",0
"85",0
"86",0
"87",0
"88",0
"89",0
"90",1
"91",0
"92",0
"93",0
"94",0
"95",0
"96",0
"97",1
"98",0
"99",0
"100",0
"101",0
"102",0
"103",0
"104",0
"105",0
"106",0
"107",0
"108",1
"109",0
"110",0
"111",1
"112",1
"113",1
"114",1
"115",0
"116",0
"117",0
"118",0
"119",0
"120",0
"121",1
"122",1
"123",0
"124",0
"125",1
"126",0
"127",0
"128",0
"129",0
"130",0
"131",0
"132",0
"133",0
"134",0
"135",0
"136",0
"137",0
"138",0
"139",1
"140",1
"141",0
"142",0
"143",0
"144",1
"145",0
"146",0
"147",1
"148",0
"149",1
"150",0
"151",0
"152",1
"153",0
"154",0
"155",0
"156",0
"157",0
"158",0
"159",0
"160",0
"161",0
"162",0
"163",0
"164",0
"165",0
"166",0
"167",1
"168",0
"169",0
"170",1
"171",0
"172",0
"173",0
"174",0
"175",0
"176",1
"177",0
"178",0
"179",1
"180",0
"181",0
"182",1
"183",0
"184",0
"185",0
"186",0
"187",0
"188",0
"189",0
"190",0
"191",1
"192",1
"193",1
"194",0
"195",1
"196",0
"197",1
"198",0
"199",0
"200",0
