"","Model","OOB"
"OOB","31sNPVProfit1Regret",0.305
"OOB1","31aPerformance1Regret",0.0588235294117647
"OOB2","31aOrderShare1Regret",0.27
"OOB3","31sTotalInstalledBaseRegret",0.25
"OOB4","31aPerformanceAvgRegret",0.215
"OOB5","31sPriceAvgRegret",0.425
"OOB6","13sNPVProfit1Regret",0.22
"OOB7","13aPerformance1Regret",0.235294117647059
"OOB8","13aOrderShare1Regret",0.255
"OOB9","13sTotalInstalledBaseRegret",0.24
"OOB10","13aPerformanceAvgRegret",0.18
"OOB11","13sPriceAvgRegret",0.235
"OOB12","15sNPVProfit1Regret",0.2
"OOB13","15aPerformance1Regret",0.235294117647059
"OOB14","15aOrderShare1Regret",0.245
"OOB15","15sTotalInstalledBaseRegret",0.225
"OOB16","15aPerformanceAvgRegret",0.18
"OOB17","15sPriceAvgRegret",0.255
